Titulo;Empresa;Formato;Link;Nivel
Jovem Aprendiz de Dados ;Avla;Híbrido;https://avla.gupy.io/job/eyJqb2JJZCI6MTA5MzM3NzYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Cientista de Dados Sênior;3CON | IT & Digital;Remoto;https://trescon.gupy.io/job/eyJqb2JJZCI6MTA5MjQzODEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
ESPECIALISTA DE DADOS - SÃO PAULO, SP;Alper Carreiras;Híbrido;https://alpercarreiras.gupy.io/job/eyJqb2JJZCI6MTA4NzI0NjgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Engenheiro(a) de Dados - Sênior;VENHA SER #SANGUELARANJA 🧡🚀;Remoto;https://fcamara.gupy.io/job/eyJqb2JJZCI6MTA5Mjg3NzQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Pessoa Estagiária de Dados ;WPP Media Services;Híbrido;https://wms.gupy.io/job/eyJqb2JJZCI6MTA4OTkwOTcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
ANALISTA DE DADOS PL;Automob;Presencial;https://automob.gupy.io/job/eyJqb2JJZCI6MTA5MDcwMTAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Pleno
Especialista em Dados e Analytics ;Ux Group;Presencial;https://uxgroup.gupy.io/job/eyJqb2JJZCI6MTA5MDkwMjQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Pessoa Analista de Dados / Cloud;Instituto de Pesquisas ELDORADO;Híbrido;https://institutoeldorado.gupy.io/job/eyJqb2JJZCI6MTA4OTA3MDUsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista de Dados / BI;Instituto de Pesquisas ELDORADO;Híbrido;https://institutoeldorado.gupy.io/job/eyJqb2JJZCI6MTA4OTA3NTEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista de Dados Júnior;Farmácias Pague Menos;Híbrido;https://paguemenosextrafarma.gupy.io/job/eyJqb2JJZCI6MTA5MzEzNDAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Engenheiro de Dados SR;Grupo SysMap;Remoto;https://gruposysmap.gupy.io/job/eyJqb2JJZCI6MTA5MjgxNzMsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Gerente de Dados (Engenharia, Ciência e Analytics);Efí Bank;Remoto;https://sejaefi.gupy.io/job/eyJqb2JJZCI6MTAyNzcwMjksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista de Dados e Migração de Sistemas;Celk Sistemas;Remoto;https://celksistemas.gupy.io/job/eyJqb2JJZCI6MTA5Mjg1ODMsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Estágio de Governança de Dados ;Lojas Renner;Híbrido;https://encantech.gupy.io/job/eyJqb2JJZCI6MTA5MzA5NzUsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Engenheiro de Dados – Sênior;Casar.com;Remoto;https://casarcom.gupy.io/job/eyJqb2JJZCI6MTA5MzA4NjYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Especialista de Governança de Dados ;3CON | IT & Digital;Híbrido;https://trescon.gupy.io/job/eyJqb2JJZCI6MTA5MjkzNTcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Engenheiro de Dados Sênior;3CON | IT & Digital;Híbrido;https://trescon.gupy.io/job/eyJqb2JJZCI6MTA5MjkyMjAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Estágio em Ciência de Dados;SiDi;Presencial;https://sidi.gupy.io/job/eyJqb2JJZCI6MTA5Mjk3MjYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Banco de Talentos - Cientista de Dados Pleno – Foco em PLN;LBCA - Lee, Brock, Camargo Advogados;Remoto;https://lbca.gupy.io/job/eyJqb2JJZCI6MTA5Mjk1NjksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Pleno
 Analista de BI / Dados (Agência de Publicidade);confidencial;Presencial;https://confidencial-vag.gupy.io/job/eyJqb2JJZCI6MTA5Mjk0NzMsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
